"REF_DATE","GEO","DGUID","School type","Program type","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011/2012","Nunavut","2016A000262","Home-schooling","General programs for adults","Number","223","units","0","v1077009394","14.4.3","","..","","","0"
"2012/2013","Nunavut","2016A000262","Home-schooling","General programs for adults","Number","223","units","0","v1077009394","14.4.3","","..","","","0"
"2013/2014","Nunavut","2016A000262","Home-schooling","General programs for adults","Number","223","units","0","v1077009394","14.4.3","","..","","","0"
"2014/2015","Nunavut","2016A000262","Home-schooling","General programs for adults","Number","223","units","0","v1077009394","14.4.3","","..","","","0"
"2015/2016","Nunavut","2016A000262","Home-schooling","General programs for adults","Number","223","units","0","v1077009394","14.4.3","","..","","","0"
"2016/2017","Nunavut","2016A000262","Home-schooling","General programs for adults","Number","223","units","0","v1077009394","14.4.3","","..","","","0"
"2017/2018","Nunavut","2016A000262","Home-schooling","General programs for adults","Number","223","units","0","v1077009394","14.4.3","","..","","","0"
"2006/2007","Nunavut","2016A000262","Home-schooling","Vocational programs for youth and adults","Number","223","units","0","v1077009395","14.4.4","0","","","","0"
"2007/2008","Nunavut","2016A000262","Home-schooling","Vocational programs for youth and adults","Number","223","units","0","v1077009395","14.4.4","","..","","","0"
"2008/2009","Nunavut","2016A000262","Home-schooling","Vocational programs for youth and adults","Number","223","units","0","v1077009395","14.4.4","","..","","","0"
